Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,CO,NO2,SO2
2020-08-02 06:00:00,46.0,4.4,5.0,981.8,0.0,401.81,209,23.5,0.0,0,6,2,8,2020,0,1,3.051025018154429,3.7658405129107,0.6601073277138825,3.0561686560035426,0.5866749238500351
2020-08-02 07:00:00,40.5,4.4,5.0,982.0,0.0,587.19,246,25.4,0.0,0,7,2,8,2020,0,1,3.159677673485902,3.7184382748734284,0.6462127842252928,3.3228754066357182,0.5866749238500351
2020-08-02 08:00:00,35.5,4.4,5.0,982.1,0.0,746.67,283,26.6,0.0,0,8,2,8,2020,0,1,3.4116096248281425,4.1042948678957485,0.6321224905822785,3.000719834043623,1.2974631708642823
2020-08-02 09:00:00,30.0,4.4,5.0,982.25,0.0,865.36,320,28.2,0.0,0,9,2,8,2020,0,1,3.0671688654018316,4.51085950651685,0.5234851567242905,2.2612421572896584,1.7557868272231978
2020-08-02 10:00:00,27.0,4.0,5.0,981.8,0.0,932.74,325,29.4,0.0,0,10,2,8,2020,0,1,3.292200649167963,4.589040819565107,0.4581207991308312,2.0638201515743337,1.6593702891658844
2020-08-02 11:00:00,26.0,4.0,5.0,981.3,0.0,942.99,320,29.9,0.0,0,11,2,8,2020,0,1,2.5134940720394834,4.628886727506568,0.40078751903612614,2.199666073657582,1.3676211259754139
2020-08-02 12:00:00,23.0,3.6,5.0,980.85,0.0,895.21,170,30.8,0.0,0,12,2,8,2020,0,1,2.829146246726354,4.591071246133144,0.3627663512195604,2.2809528185945034,1.2220091825473798
2020-08-02 13:00:00,22.0,3.2,5.0,980.4,0.0,793.5,247,31.4,0.0,0,13,2,8,2020,0,1,2.759693439084308,4.636668823476166,0.29512928405554045,2.014102694772127,1.0515206771356247
2020-08-02 14:00:00,21.5,3.2,5.0,980.05,0.0,646.72,323,31.5,0.0,0,14,2,8,2020,0,1,2.5649493574615367,4.564348191467836,0.2882569132073189,2.319245555646834,0.953971781943146
2020-08-02 15:00:00,21.0,3.2,5.0,979.55,0.0,468.25,175,31.6,0.0,0,15,2,8,2020,0,1,2.5543549665721796,4.623010134094397,0.2977314079153252,2.220615562423157,0.8458682859962117
